Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_004005935.1	ASM400593v1	Neptunomonas marina		HPM-16					GCF_004005935.1-RS_2024_03_28	Scaffold	2019-01-08	SACQ01	49
GCF_023094245.1	ASM2309424v1	Halomonas getboli		YJPS3-2					GCF_023094245.1-RS_2024_05_11	Scaffold	2022-04-24	JALMEW01	25
GCF_001482195.1	ASM148219v1	Luteimonas abyssi		XH031					GCF_001482195.1-RS_2024_05_12	Scaffold	2015-12-23	JUKH01	6
GCF_014645135.1	ASM1464513v1	Rheinheimera tangshanensis		CGMCC 1.6362					GCF_014645135.1-RS_2024_08_26	Scaffold	2020-09-12	BMLH01	25
GCF_002000085.1	ASM200008v1	Pseudocolwellia agarivorans		QM50					GCF_002000085.1-RS_2024_05_03	Scaffold	2017-02-15	MUZU01	51
GCF_022810315.1	ASM2281031v1	Pseudomonas marianensis		PS1					GCF_022810315.1-RS_2024_03_28	Scaffold	2022-04-03	JALGRD01	103
GCF_038321125.1	ASM3832112v1	Pseudoxanthomonas putridarboris		WD12					GCF_038321125.1-RS_2024_05_12	Scaffold	2024-04-16	JBBWWT01	25
GCF_039542245.1	ASM3954224v1	Acinetobacter puyangensis		JCM 18011					GCF_039542245.1-RS_2024_05_11	Scaffold	2024-02-23	BAABHT01	36
GCF_900625095.1	PRJEB29216	Acinetobacter ihumii		Marseille-P8049					GCF_900625095.1-RS_2024_06_07	Scaffold	2018-12-05	UYYC01	18
GCF_039537985.1	ASM3953798v1	Litoribacillus peritrichatus		JCM 17551					GCF_039537985.1-RS_2024_05_10	Scaffold	2024-02-23	BAABBN01	17
GCF_002744715.1	ASM274471v1	Marinobacter profundi		PWS21					GCF_002744715.1-RS_2024_12_09	Scaffold	2017-10-26	NTFH01	32
GCF_004336975.1	ASM433697v1	Corallincola luteus		DASS28					GCF_004336975.1-RS_2024_03_28	Scaffold	2019-03-09	SJXE01	29
GCF_902500225.1	P9829	Buttiauxella massiliensis		Marseille-P9829					GCF_902500225.1-RS_2024_12_09	Scaffold	2019-09-30	CABVOV01	46
GCF_039523755.1	ASM3952375v1	Tatumella terrea		JCM 8887					GCF_039523755.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAFX01	34
GCF_042428525.1	ASM4242852v1	Vibrio olivae		CECT 8064					GCF_042428525.1-RS_2024_09_29	Scaffold	2024-09-28	JBHMEP01	156
GCF_009793355.1	ASM979335v1	Vreelandella zhuhanensis		ZH2S					GCF_009793355.1-RS_2024_08_25	Scaffold	2019-12-23	WTKP01	23
GCF_900106945.1	IMG-taxon 2617270765 annotated assembly	Marinobacter mobilis		CGMCC 1.7059					GCF_900106945.1-RS_2024_05_03	Scaffold	2016-10-22	FNNE01	26
GCF_003999375.1	ASM399937v1	Pseudidiomarina mangrovi		ZQ330					GCF_003999375.1-RS_2024_06_03	Scaffold	2019-01-08	RJLC01	17
GCF_019100565.1	ASM1910056v1	Arsukibacterium indicum		SM2107					GCF_019100565.1-RS_2024_08_29	Scaffold	2021-07-03	JAHRID01	24
GCF_014201735.1	ASM1420173v1	Marinobacter oulmenensis		DSM 22359					GCF_014201735.1-RS_2024_05_05	Scaffold	2020-08-14	JACHFE01	24
GCF_008725655.1	ASM872565v1	Marinihelvus fidelis		W260					GCF_008725655.1-RS_2024_11_26	Scaffold	2019-09-28	VYXP01	17
GCF_900104135.1	IMG-taxon 2617270760 annotated assembly	Halomonas shengliensis		CGMCC 1.6444					GCF_900104135.1-RS_2024_05_02	Scaffold	2016-10-21	FNIV01	24
GCF_007096385.1	ASM709638v1	Aliidiomarina halalkaliphila		IM 1326					GCF_007096385.1-RS_2024_12_13	Scaffold	2019-07-17	VJWL01	12
GCF_002993325.1	ASM299332v1	Alteromonas gracilis		9a2					GCF_002993325.1-RS_2024_03_28	Scaffold	2018-03-11	PVNO01	31
GCF_014192275.1	ASM1419227v1	Halomonas stenophila		CECT 7744					GCF_014192275.1-RS_2024_05_05	Scaffold	2020-08-14	JACHXR01	34
GCF_030409225.1	ASM3040922v1	Aquisalimonas lutea		CECT 8326					GCF_030409225.1-RS_2024_07_07	Scaffold	2023-07-05	JAUFPK01	16
GCF_014646755.1	ASM1464675v1	Pseudomonas asuensis		JCM 13501					GCF_014646755.1-RS_2024_09_02	Scaffold	2020-09-12	BMNW01	108
GCF_003217155.1	ASM321715v1	Psychrobacter fozii		CECT 5889					GCF_003217155.1-RS_2024_05_04	Scaffold	2018-06-12	QJSU01	24
GCF_014836665.1	ASM1483666v1	Luteimonas colneyensis		Sa2BVA3					GCF_014836665.1-RS_2024_05_06	Scaffold	2020-09-30	JACSQJ01	13
GCF_017051665.1	ASM1705166v1	Aliamphritea spongicola		JCM 16668					GCF_017051665.1-RS_2024_12_29	Scaffold	2021-02-27	JAFIDL01	167
GCF_003664325.1	ASM366432v1	Alkalispirillum mobile		DSM 12769					GCF_003664325.1-RS_2024_05_04	Scaffold	2018-10-15	RCDA01	13
GCF_022662575.1	ASM2266257v1	Luteimonas aquatica		RIB1-20					GCF_022662575.1-RS_2024_05_12	Scaffold	2022-03-21	JALBFU01	52
GCF_039523355.1	ASM3952335v1	Aliiglaciecola litoralis		JCM 15896					GCF_039523355.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAFD01	60
GCF_022436675.1	ASM2243667v1	Rheinheimera hassiensis		LMG 27268					GCF_022436675.1-RS_2024_03_28	Scaffold	2022-03-01	JAKUJZ01	78
GCF_008710095.1	ASM871009v1	Affinibrenneria salicis		L3-3HA					GCF_008710095.1-RS_2024_11_06	Scaffold	2019-09-26	VYKJ01	44
GCF_025751585.1	ASM2575158v1	Fluctibacter corallii		AA17					GCF_025751585.1-RS_2024_11_18	Scaffold	2022-10-18	JAOWKX01	19
GCF_015461835.1	ASM1546183v1	Pseudomonas neuropathica		P155					GCF_015461835.1-RS_2024_12_09	Scaffold	2020-11-13	JACOPX01	50
GCF_014202415.1	ASM1420241v1	Tolumonas osonensis		DSM 22975					GCF_014202415.1-RS_2024_05_05	Scaffold	2020-08-14	JACHGR01	30
GCF_003966265.1	ASM396626v1	Shewanella atlantica		HAW-EB5					GCF_003966265.1-RS_2024_05_04	Scaffold	2018-12-23	RXNV01	47
GCF_012033695.1	ASM1203369v1	Pseudomonas quercus		hsmgli-8					GCF_012033695.1-RS_2024_05_05	Scaffold	2020-04-05	JAAVJI01	50
GCF_001418345.1	ASM141834v1	Pseudidiomarina woesei		DSM 27808					GCF_001418345.1-RS_2024_05_02	Scaffold	2015-10-28	LIPW01	16
GCF_030160095.1	ASM3016009v1	Dyella flava		NBRC 111979					GCF_030160095.1-RS_2024_05_12	Scaffold	2023-02-15	BSNR01	39
GCF_014647855.1	ASM1464785v1	Shewanella gelidii		JCM 30804					GCF_014647855.1-RS_2024_09_02	Scaffold	2020-09-12	BMPZ01	38
GCF_002000055.1	ASM200005v1	Marinicella sediminis		F2					GCF_002000055.1-RS_2024_12_13	Scaffold	2017-02-15	MVBD01	44
GCF_014645375.1	ASM1464537v1	Marinobacterium nitratireducens		CGMCC 1.7286					GCF_014645375.1-RS_2024_09_02	Scaffold	2020-09-12	BMLT01	39
GCF_014117215.1	ASM1411721v1	Stenotrophomonas tumulicola		JCM 30961					GCF_014117215.1-RS_2024_05_05	Scaffold	2020-08-08	JACGXS01	25
GCF_004363295.1	ASM436329v1	Mesocricetibacter intestinalis		DSM 28403					GCF_004363295.1-RS_2024_04_19	Scaffold	2019-03-22	SNYQ01	18
GCF_011440395.1	ASM1144039v1	Pseudomaricurvus alcaniphilus		MEBiC06469					GCF_011440395.1-RS_2024_04_19	Scaffold	2020-03-18	JAAOIX01	41
GCF_030409235.1	ASM3040923v1	Halomonas almeriensis		CECT 7050					GCF_030409235.1-RS_2024_07_07	Scaffold	2023-07-05	JAUFPO01	22
GCF_900156675.1	IMG-taxon 2681813515 annotated assembly	Thalassolituus maritimus		DSM 24913					GCF_900156675.1-RS_2024_07_15	Scaffold	2017-01-14	FTOH01	30
GCF_014642795.1	ASM1464279v1	Pseudohongiella nitratireducens		CGMCC 1.15425					GCF_014642795.1-RS_2024_11_06	Scaffold	2020-09-12	BMIY01	30
GCF_010500915.1	ASM1050091v1	Alteromonas hispanica		LMG 22958					GCF_010500915.1-RS_2024_03_28	Scaffold	2020-02-12	JAAAWP01	31
GCF_015627125.1	ASM1562712v1	Acinetobacter rathckeae		EC24					GCF_015627125.1-RS_2024_12_09	Scaffold	2020-11-20	VTDO01	17
GCF_018682615.1	ASM1868261v1	Rheinheimera oceanensis		GL-53					GCF_018682615.1-RS_2024_06_18	Scaffold	2021-06-02	JAGKQR01	71
GCF_042649925.1	ASM4264992v1	Pseudaeromonas sharmana		CCUG 54939					GCF_042649925.1-RS_2024_10_06	Scaffold	2024-10-05	JBHSAF01	18
GCF_900115045.1	IMG-taxon 2651870110 annotated assembly	Izhakiella capsodis		N6PO6					GCF_900115045.1-RS_2024_12_11	Scaffold	2016-11-02	FOVC01	30
GCF_014642835.1	ASM1464283v1	Dyella nitratireducens		CGMCC 1.15439					GCF_014642835.1-RS_2024_05_06	Scaffold	2020-09-12	BMJA01	14
GCF_003990185.1	ASM399018v1	Vreelandella nanhaiensis		JCM 18142					GCF_003990185.1-RS_2024_04_07	Scaffold	2019-01-01	RZHF01	29
GCF_000827595.2	Necropsobacter senegalensis FF6	Necropsobacter massiliensis		FF6					GCF_000827595.2-RS_2024_08_20	Scaffold	2015-01-21	CDON01	43
GCF_022601735.1	ASM2260173v1	Atopomonas sediminilitoris		A3.4					GCF_022601735.1-RS_2024_08_20	Scaffold	2022-03-16	JAKUMM01	22
GCF_900107845.1	IMG-taxon 2617270770 annotated assembly	Alkalimonas amylolytica		CGMCC 1.3430					GCF_900107845.1-RS_2024_05_03	Scaffold	2016-10-22	FNRM01	30
GCF_002104515.1	ASM210451v1	Colwellia polaris		MCCC 1C00015					GCF_002104515.1-RS_2024_12_13	Scaffold	2017-04-21	NBOE01	28
GCF_003148745.1	ASM314874v1	Pleionea mediterranea		DSM 25350					GCF_003148745.1-RS_2024_04_30	Scaffold	2018-05-22	QGGU01	32
GCF_039523295.1	ASM3952329v1	Colwellia asteriadis		JCM 15608					GCF_039523295.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAFA01	45
GCF_900101825.1	IMG-taxon 2622736515 annotated assembly	Aquimonas voraii		DSM 16957					GCF_900101825.1-RS_2024_05_02	Scaffold	2016-10-21	FNAG01	40
GCF_900115905.1	IMG-taxon 2663762775 annotated assembly	Halopseudomonas formosensis		JCM 18415					GCF_900115905.1-RS_2024_12_11	Scaffold	2016-11-02	FOYD01	28
GCF_019457885.1	ASM1945788v1	Shewanella nanhaiensis		NR704-98					GCF_019457885.1-RS_2024_08_05	Scaffold	2021-08-07	JAHZST01	103
GCF_020687805.1	ASM2068780v1	Planctobacterium marinum		K7					GCF_020687805.1-RS_2024_12_09	Scaffold	2021-10-31	JAJEWQ01	22
GCF_014156615.1	ASM1415661v1	Pantoea pleuroti		JZB 2120015					GCF_014156615.1-RS_2024_05_05	Scaffold	2020-08-11	SBFD01	37
GCF_004768465.1	ASM476846v1	Natronospirillum operosum		G-116					GCF_004768465.1-RS_2024_03_28	Scaffold	2019-04-09	SRMF01	32
GCF_002607735.1	ASM260773v1	Proteus alimentorum		08MAS0041					GCF_002607735.1-RS_2024_03_28	Scaffold	2017-10-20	NBVR01	44
GCF_001854605.1	ASM185460v1	Pseudoalteromonas amylolytica		JW1					GCF_001854605.1-RS_2024_03_28	Scaffold	2016-10-26	MKJU01	38
GCF_010131535.1	ASM1013153v1	Acerihabitans arboris		SAP-6					GCF_010131535.1-RS_2024_09_29	Scaffold	2020-02-04	WUBS01	56
GCF_008638305.1	ASM863830v1	Pseudomonas profundi		M5					GCF_008638305.1-RS_2024_11_06	Scaffold	2019-09-23	VTPZ01	56
GCF_003182095.1	ASM318209v1	Plasticicumulans acidivorans		DSM 23606					GCF_003182095.1-RS_2024_05_04	Scaffold	2018-05-31	QGTJ01	28
GCF_002014855.1	ASM201485v1	Moraxella porci DSM 25326		CCUG 54912					GCF_002014855.1-RS_2024_12_09	Scaffold	2017-03-03	MUYV01	26
GCF_016649425.1	ASM1664942v1	Limnobaculum allomyrinae		BWR-B9					GCF_016649425.1-RS_2024_12_09	Scaffold	2021-01-15	JADRCR01	30
GCF_023156535.1	ASM2315653v1	Pseudomarimonas salicorniae		CAU 1642					GCF_023156535.1-RS_2024_05_06	Scaffold	2022-04-27	JALNMH01	32
GCF_009821115.1	ASM982111v1	Nitrincola alkalisediminis		JCM 19317					GCF_009821115.1-RS_2024_05_05	Scaffold	2019-12-31	VYTY01	36
GCF_022808325.1	ASM2280832v1	Cognatiluteimonas sedimenti		50					GCF_022808325.1-RS_2024_05_06	Scaffold	2022-04-02	JALGCL01	8
GCF_014636635.1	ASM1463663v1	Marinicella pacifica		CGMCC 1.12181					GCF_014636635.1-RS_2024_08_26	Scaffold	2020-09-11	BMEO01	43
GCF_003351225.1	ASM335122v1	Dyella solisilvae		DHG54					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-07-31	QQSY01	17
GCF_001418205.1	ASM141820v1	Marinomonas fungiae		JCM 18476					GCF_001418205.1-RS_2024_12_01	Scaffold	2015-10-28	LIQF01	36
GCF_900102855.1	IMG-taxon 2593339163 annotated assembly	Thiohalomonas denitrificans		HLD2					GCF_900102855.1-RS_2024_11_06	Scaffold	2016-10-17	FMWD01	28
GCF_900103865.1	IMG-taxon 2617270787 annotated assembly	Vreelandella arcis		CGMCC 1.6494					GCF_900103865.1-RS_2024_04_07	Scaffold	2016-10-21	FNII01	38
GCF_030161115.1	ASM3016111v1	Psychromonas marina		NBRC 103166					GCF_030161115.1-RS_2024_06_02	Scaffold	2023-02-15	BSPQ01	40
GCF_020831405.1	ASM2083140v1	Pseudomonas oryzagri		MAHUQ-58					GCF_020831405.1-RS_2024_11_26	Scaffold	2021-11-10	JAJHPU01	46
GCF_037892215.1	ASM3789221v1	Elongatibacter sediminis		CH-27					GCF_037892215.1-RS_2024_07_11	Scaffold	2024-03-29	JAZHOG01	31
GCF_014192285.1	ASM1419228v1	Halomonas fontilapidosi		CECT 7341					GCF_014192285.1-RS_2024_05_05	Scaffold	2020-08-14	JACHXQ01	23
GCF_003350925.1	ASM335092v1	Dyella tabacisoli		L4-6					GCF_003350925.1-RS_2024_05_06	Scaffold	2018-07-29	QQAH01	33
GCF_000474945.1	ASM47494v1	Solimonas soli DSM 21787		DSM 21787					GCF_000474945.1-RS_2024_07_15	Scaffold	2013-10-18	AXDW01	34
GCF_014652375.1	ASM1465237v1	Alishewanella tabrizica		KCTC 23723					GCF_014652375.1-RS_2024_09_02	Scaffold	2020-09-12	BMYR01	47
GCF_007830255.1	ASM783025v1	Azomonas agilis		DSM 375					GCF_007830255.1-RS_2024_05_04	Scaffold	2019-08-02	VLKG01	22
GCF_003201205.1	ASM320120v1	Sinimarinibacterium flocculans		DSM 104150					GCF_003201205.1-RS_2024_07_15	Scaffold	2018-06-07	QICN01	39
GCF_900129825.1	IMG-taxon 2619618894 annotated assembly	Hydrocarboniphaga daqingensis		CGMCC 1.7049					GCF_900129825.1-RS_2024_07_15	Scaffold	2016-12-03	FQWZ01	13
GCF_003363265.1	ASM336326v1	Dyella psychrodurans		4MSK11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-04	QRBF01	16
GCF_011074955.1	ASM1107495v1	Marinobacter caseinilyticus		M3-13					GCF_011074955.1-RS_2024_05_13	Scaffold	2020-03-09	WUQJ01	37
GCF_900639865.1	Leg_gresilensis_Greoux_11D13.v1	Legionella gresilensis		Greoux 11D13					GCF_900639865.1-RS_2024_05_13	Scaffold	2019-02-12	CAAAHX01	55
GCF_014639435.1	ASM1463943v1	Hafnia psychrotolerans		CGMCC 1.12806					GCF_014639435.1-RS_2024_09_02	Scaffold	2020-09-12	BMFZ01	29
GCF_003208215.1	ASM320821v1	Marinomonas alcarazii		CECT 7730					GCF_003208215.1-RS_2024_05_04	Scaffold	2018-06-12	QKLW01	21
GCF_027922365.1	ASM2792236v1	Pseudomonas turukhanskensis		VKM B-2935					GCF_027922365.1-RS_2024_09_09	Scaffold	2023-01-19	BSFN01	61
GCF_004363655.1	ASM436365v1	Tahibacter aquaticus		DSM 21667					GCF_004363655.1-RS_2024_05_12	Scaffold	2019-03-22	SNZH01	82
GCF_042648805.1	ASM4264880v1	Stutzerimonas tarimensis		KCTC 42447					GCF_042648805.1-RS_2024_10_06	Scaffold	2024-10-05	JBHRXZ01	36
GCF_003182475.1	ASM318247v1	Mangrovibacter plantisponsor		DSM 19579					GCF_003182475.1-RS_2024_05_04	Scaffold	2018-05-31	QGTS01	56
GCF_001467895.1	ASM146789v1	Legionella nautarum		ATCC 49506					GCF_001467895.1-RS_2024_03_27	Scaffold	2015-12-15	LNYO01	27
GCF_003577475.1	ASM357747v1	Salinibius halmophilus		WDS2A16A					GCF_003577475.1-RS_2024_12_09	Scaffold	2018-09-19	QPEP01	34
GCF_014646575.1	ASM1464657v1	Halopseudomonas pertucinogena		JCM 11590					GCF_014646575.1-RS_2024_09_02	Scaffold	2020-09-11	BMNN01	24
GCF_900102945.1	IMG-taxon 2599185144 annotated assembly	Modicisalibacter muralis		DSM 14789					GCF_900102945.1-RS_2024_12_01	Scaffold	2016-10-21	FNGI01	21
GCF_029207565.1	ASM2920756v1	Marinobacter iranensis		71-i					GCF_029207565.1-RS_2024_03_28	Scaffold	2023-03-14	JANCMW01	444
GCF_003363155.1	ASM336315v1	Dyella monticola		4 G-K06					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-04	QRBE01	45
GCF_014836765.1	ASM1483676v1	Serpens gallinarum		Sa2CUA2					GCF_014836765.1-RS_2024_06_20	Scaffold	2020-09-30	JACSQG01	34
GCF_000711795.1	ASM71179v1	Vibrio pacinii DSM 19139		DSM 19139					GCF_000711795.1-RS_2024_05_02	Scaffold	2014-06-25	JONH01	53
GCF_004339025.1	ASM433902v1	Volucribacter psittacicida		DSM 15534					GCF_004339025.1-RS_2024_04_17	Scaffold	2019-03-11	SMFT01	11
GCF_042433055.1	ASM4243305v1	Gallibacterium trehalosifermentans		CCM 7539					GCF_042433055.1-RS_2024_09_29	Scaffold	2024-09-28	JBHLWB01	19
GCF_039523175.1	ASM3952317v1	Dokdonella soli		JCM 15421					GCF_039523175.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAEU01	53
GCF_000934725.1	ASM93472v1	Methyloterricola oryzae		73a					GCF_000934725.1-RS_2024_08_05	Scaffold	2015-02-26	JYNS01	73
GCF_900111305.1	IMG-taxon 2617270764 annotated assembly	Vreelandella subterranea		CGMCC 1.6495					GCF_900111305.1-RS_2024_04_07	Scaffold	2016-10-31	FOGS01	26
GCF_007830115.1	ASM783011v1	Aerolutibacter ruishenii		CGMCC 1.10136					GCF_007830115.1-RS_2024_05_06	Scaffold	2019-08-02	VLKP01	28
GCF_900116705.1	IMG-taxon 2617270784 annotated assembly	Halomonas korlensis		CGMCC 1.6981					GCF_900116705.1-RS_2024_05_03	Scaffold	2016-11-02	FPBP01	34
GCF_025971955.1	ASM2597195v1	Shewanella subflava		FYR11-62					GCF_025971955.1-RS_2024_11_26	Scaffold	2022-11-02	JAPDMX01	34
GCF_017254865.1	ASM1725486v1	Bowmanella dokdonensis		JCM 30855					GCF_017254865.1-RS_2024_08_06	Scaffold	2021-03-06	JAFKCV01	466
GCF_026626885.1	ASM2662688v1	Parathalassolituus penaei		G-43					GCF_026626885.1-RS_2024_05_19	Scaffold	2022-12-04	JAPNOA01	59
GCF_001854475.1	ASM185447v1	Pseudoalteromonas byunsanensis		JCM 12483					GCF_001854475.1-RS_2024_05_02	Scaffold	2016-10-26	MNAN01	37
GCF_003416885.1	ASM341688v1	Cognatiluteimonas weifangensis		WF-2					GCF_003416885.1-RS_2024_05_06	Scaffold	2018-08-22	QVPD01	45
GCF_004342725.1	ASM434272v1	Testudinibacter aquarius		DSM 28140					GCF_004342725.1-RS_2024_04_22	Scaffold	2019-03-11	SMCP01	24
GCF_014836715.1	ASM1483671v1	Escherichia whittamii		Sa2BVA5					GCF_014836715.1-RS_2024_11_18	Scaffold	2020-09-30	JACSQI01	40
GCF_039522935.1	ASM3952293v1	Bowmanella denitrificans		JCM 13378					GCF_039522935.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAEI01	41
GCF_042646125.1	ASM4264612v1	Agaribacter flavus		KCTC 52473					GCF_042646125.1-RS_2024_10_06	Scaffold	2024-10-05	JBHRSW01	57
GCF_030409265.1	ASM3040926v1	Halomonas sabkhae		CECT 7246					GCF_030409265.1-RS_2024_07_07	Scaffold	2023-07-05	JAUFPM01	29
GCF_025318105.1	ASM2531810v1	Thalassolituus pacificus		59MF3M-4					GCF_025318105.1-RS_2024_03_28	Scaffold	2022-09-20	JAOANI01	33
GCF_029887935.1	ASM2988793v1	Luteimonas kalidii		M1R5S59					GCF_029887935.1-RS_2024_05_12	Scaffold	2023-04-26	JARXRO01	20
GCF_900102875.1	IMG-taxon 2654587879 annotated assembly	Franzmannia pantelleriensis		AAP					GCF_900102875.1-RS_2024_04_07	Scaffold	2016-10-21	FNGH01	40
GCF_042643375.1	ASM4264337v1	Pseudoalteromonas fenneropenaei		KCTC 42730					GCF_042643375.1-RS_2024_10_06	Scaffold	2024-10-05	JBHRSD01	51
GCF_037137055.1	ASM3713705v1	Fulvimonas yonginensis		KACC 16952					GCF_037137055.1-RS_2024_05_12	Scaffold	2024-03-13	JBBBNY01	25
GCF_003332275.1	ASM333227v1	Edaphovirga cremea		DSM 105170					GCF_003332275.1-RS_2024_05_04	Scaffold	2018-07-20	QOVA01	70
GCF_000819865.1	PRJEB7029	Aeromonas eucrenophila		CECT 4224					GCF_000819865.1-RS_2024_12_11	Scaffold	2014-12-01	CDDF01	22
GCF_003337735.1	ASM333773v1	Thioalbus denitrificans		DSM 26407					GCF_003337735.1-RS_2024_05_04	Scaffold	2018-07-24	QPJY01	22
GCF_900119735.1	IMG-taxon 2599185147 annotated assembly	Marinospirillum alkaliphilum DSM 21637		DSM 21637					GCF_900119735.1-RS_2024_05_03	Scaffold	2016-11-18	FPJW01	22
GCF_900109175.1	IMG-taxon 2663762776 annotated assembly	Pseudomonas linyingensis		LMG 25967					GCF_900109175.1-RS_2024_04_24	Scaffold	2016-10-31	FNZE01	43
GCF_006439335.1	ASM643933v1	Litorilituus lipolyticus		RZ04					GCF_006439335.1-RS_2024_05_04	Scaffold	2019-06-24	SAWY01	41
GCF_030160275.1	ASM3016027v1	Dyella flagellata		NBRC 111981					GCF_030160275.1-RS_2024_05_12	Scaffold	2023-02-15	BSOA01	67
GCF_010993975.1	ASM1099397v1	Halomonas faecis		JSM 104105					GCF_010993975.1-RS_2024_12_02	Scaffold	2020-02-24	JAACZO01	59
GCF_028863985.1	ASM2886398v1	Vibrio chanodichtyis		DSL-7					GCF_028863985.1-RS_2024_11_26	Scaffold	2023-02-26	JARBFT01	45
GCF_042432165.1	ASM4243216v1	Rheinheimera tilapiae		KCTC 23315					GCF_042432165.1-RS_2024_09_29	Scaffold	2024-09-28	JBHLXP01	14
GCF_900111015.1	IMG-taxon 2616644811 annotated assembly	Solimonas aquatica		DSM 25927					GCF_900111015.1-RS_2024_07_15	Scaffold	2016-10-31	FOFS01	31
GCF_902500215.1	CIP111708	Halomonas lysinitropha		3(2)					GCF_902500215.1-RS_2024_12_09	Scaffold	2019-09-30	CABVOU01	63
GCF_900112605.1	IMG-taxon 2595698212 annotated assembly	Thiohalospira halophila DSM 15071		HL 3					GCF_900112605.1-RS_2024_11_06	Scaffold	2016-11-02	FOMJ01	23
GCF_001757105.1	ASM175710v1	Alteromonas confluentis		KCTC 42603					GCF_001757105.1-RS_2024_05_02	Scaffold	2016-10-11	MDHN01	46
GCF_041447225.1	ASM4144722v1	Microbulbifer echini		JCM 30400					GCF_041447225.1-RS_2024_12_02	Scaffold	2024-08-24	JBGMEL01	62
GCF_014651855.1	ASM1465185v1	Saccharospirillum salsuginis		KCTC 22169					GCF_014651855.1-RS_2024_09_02	Scaffold	2020-09-12	BMXR01	37
GCF_007004655.1	ASM700465v1	Exilibacterium tricleocarpae		R142					GCF_007004655.1-RS_2024_05_04	Scaffold	2019-07-15	VHSG01	73
GCF_014652515.1	ASM1465251v1	Bacterioplanes sanyensis		KCTC 32220					GCF_014652515.1-RS_2024_09_02	Scaffold	2020-09-12	BMYY01	38
GCF_004341165.1	ASM434116v1	Reinekea marinisedimentorum		DSM 15388					GCF_004341165.1-RS_2024_04_17	Scaffold	2019-03-11	SLZR01	62
GCF_042648865.1	ASM4264886v1	Luteimonas soli		KCTC 42441					GCF_042648865.1-RS_2024_10_06	Scaffold	2024-10-05	JBHRYA01	17
GCF_013283795.1	ASM1328379v1	Rheinheimera lutimaris		YQF-2					GCF_013283795.1-RS_2024_12_11	Scaffold	2020-06-06	JABSOD01	51
GCF_014651815.1	ASM1465181v1	Alteromonas halophila		KCTC 22164					GCF_014651815.1-RS_2024_09_02	Scaffold	2020-09-12	BMXP01	36
GCF_003387375.1	ASM338737v1	Marinomonas pollencensis		CECT 7375					GCF_003387375.1-RS_2024_05_04	Scaffold	2018-08-14	QUNG01	42
GCF_004360155.1	ASM436015v1	Paraglaciecola marina		D3211					GCF_004360155.1-RS_2024_03_28	Scaffold	2019-03-22	SAIS01	75
GCF_003989795.1	ASM398979v1	Vreelandella andesensis		DSM 19434					GCF_003989795.1-RS_2024_04_07	Scaffold	2019-01-01	RZHG01	34
GCF_900115715.1	IMG-taxon 2663762798 annotated assembly	Geopseudomonas sagittaria		JCM 18195					GCF_900115715.1-RS_2024_10_22	Scaffold	2016-11-02	FOXM01	44
GCF_003336675.1	ASM333667v1	Billgrantia montanilacus		PYC7W					GCF_003336675.1-RS_2024_04_07	Scaffold	2018-07-24	QPII01	56
GCF_003007675.1	ASM300767v1	Marinobacter fuscus		NH169-3					GCF_003007675.1-RS_2024_03_28	Scaffold	2018-03-18	PXNP01	111
GCF_002006995.1	ASM200699v1	Izhakiella australiensis		D4N98					GCF_002006995.1-RS_2024_04_05	Scaffold	2017-02-27	MRUL01	61
GCF_030409305.1	ASM3040930v1	Halomonas maura		CECT 5298					GCF_030409305.1-RS_2024_07_07	Scaffold	2023-07-05	JAUFPQ01	39
GCF_008973715.1	ASM897371v1	Nitrincola schmidtii		NCAIM B.02626					GCF_008973715.1-RS_2024_03_29	Scaffold	2019-10-11	WBOL01	34
GCF_004341245.1	ASM434124v1	Plasticicumulans lactativorans		DSM 25287					GCF_004341245.1-RS_2024_04_17	Scaffold	2019-03-11	SLWY01	61
GCF_003977665.1	ASM397766v1	Dyella choica		4 M-K27					GCF_003977665.1-RS_2024_05_06	Scaffold	2018-12-27	RYYV01	68
GCF_016774335.1	ASM1677433v1	Luteimonas saliphila		SJ-9					GCF_016774335.1-RS_2024_05_06	Scaffold	2021-01-30	JAETWA01	48
GCF_014750655.1	ASM1475065v1	Salinimonas profundi		HHU 13199					GCF_014750655.1-RS_2024_11_06	Scaffold	2020-09-25	JABBXD01	30
GCF_000820185.1	PRJEB7042	Aeromonas tecta		CECT 7082					GCF_000820185.1-RS_2024_12_13	Scaffold	2015-01-30	CDCA01	51
GCF_000620085.1	ASM62008v1	Marinobacterium jannaschii DSM 6295		DSM 6295					GCF_000620085.1-RS_2024_12_09	Scaffold	2014-04-08	JHVJ01	39
